"fiscal_year","fiscal_period","cost_center_id","gl_account","actual_amount","budget_amount","variance_amount","variance_pct"
2024,1,"CC0001","600000","1920.93","1475.10","445.83","0.30223713646532438479"
2024,1,"CC0001","601000","1659.40","1475.51","183.89","0.12462809469268253011"
2024,1,"CC0001","602000","2040.08","1885.62","154.46","0.08191470179569584540"
2024,1,"CC0001","610000","1955.66","2094.83","-139.17","-0.06643498517779485686"
2024,1,"CC0001","611000","1156.95","1787.12","-630.17","-0.35261761941000044765"
2024,1,"CC0001","620000","1896.40","2310.45","-414.05","-0.17920751368780973403"
2024,1,"CC0001","630000","2705.56","2394.32","311.24","0.12999097864947041331"
2024,1,"CC0001","650000","2380.61","2604.53","-223.92","-0.08597328500727578488"
2024,1,"CC0001","660000","2372.57","3173.28","-800.71","-0.25232882065244794030"
2024,1,"CC0001","670000","2372.01","3150.67","-778.66","-0.24714108427731244465"
2024,1,"CC0001","680000","2947.29","3601.44","-654.15","-0.18163567906170864987"
2024,1,"CC0001","700000","8602.08","8624.53","-22.45","-0.00260304039756369333"
2024,1,"CC0001","701000","9106.28","8967.86","138.42","0.01543512053042754905"
2024,1,"CC0001","702000","7682.13","10124.11","-2441.98","-0.24120441204214493916"
2024,1,"CC0001","710000","3972.62","3922.30","50.32","0.01282920735282869745"
2024,1,"CC0001","720000","4499.67","3924.49","575.18","0.14656171884754452171"
2024,1,"CC0001","730000","4409.19","4742.51","-333.32","-0.07028345749402742430"
2024,1,"CC0002","600000","1968.02","1551.49","416.53","0.26847095372835145570"
2024,1,"CC0002","601000","1579.77","1695.56","-115.79","-0.06829012243742480360"
2024,1,"CC0002","602000","2004.99","1885.87","119.12","0.06316448111481703405"
2024,1,"CC0002","610000","2903.88","2215.85","688.03","0.31050386984678565787"
2024,1,"CC0002","611000","2035.20","2377.70","-342.50","-0.14404676788493081549"
2024,1,"CC0002","630000","3149.15","2772.15","377.00","0.13599552693757552802"
2024,1,"CC0002","640000","3794.20","2771.46","1022.74","0.36902571207955373702"
2024,1,"CC0002","650000","3306.11","2924.45","381.66","0.13050659098291986527"
2024,1,"CC0002","660000","3080.18","3023.67","56.51","0.01868920880916237552"
2024,1,"CC0002","670000","4382.17","3727.84","654.33","0.17552523713464097172"
2024,1,"CC0002","680000","3975.25","3571.00","404.25","0.11320358443013161579"
2024,1,"CC0002","700000","10192.26","9436.72","755.54","0.08006383573953661866"
2024,1,"CC0002","701000","12364.66","11225.97","1138.69","0.10143355095372604773"
2024,1,"CC0002","702000","7974.35","10049.80","-2075.45","-0.20651654759298692511"
2024,1,"CC0002","710000","6097.02","4531.82","1565.20","0.34538000185355993839"
2024,1,"CC0002","720000","5168.83","4286.84","881.99","0.20574362467458547555"
2024,1,"CC0002","730000","4789.56","4800.26","-10.70","-0.00222904592667897156"
2024,1,"CC0003","600000","1665.64","1717.70","-52.06","-0.03030796995983000524"
2024,1,"CC0003","601000","1446.32","1935.31","-488.99","-0.25266753129989510724"
2024,1,"CC0003","602000","2302.43","2248.80","53.63","0.02384827463536108147"
2024,1,"CC0003","610000","3046.57","2343.65","702.92","0.29992533014741962324"
2024,1,"CC0003","611000","2649.43","2638.60","10.83","0.00410444932918972182"
2024,1,"CC0003","630000","2777.80","2970.25","-192.45","-0.06479252588165979295"
2024,1,"CC0003","640000","2820.81","2741.55","79.26","0.02891065273294304317"
2024,1,"CC0003","650000","3834.21","3219.05","615.16","0.19109985865395069974"
2024,1,"CC0003","660000","4082.51","3371.90","710.61","0.21074468400605000148"
2024,1,"CC0003","670000","2519.87","3622.43","-1102.56","-0.30437027078508073310"
2024,1,"CC0003","680000","4662.41","4371.09","291.32","0.06664699194022543576"
2024,1,"CC0003","700000","12976.98","11792.85","1184.13","0.10041084216283595569"
2024,1,"CC0003","701000","10581.92","11171.40","-589.48","-0.05276688687183343180"
2024,1,"CC0003","702000","12934.83","12576.21","358.62","0.02851574520463637296"
2024,1,"CC0003","710000","5845.91","4972.73","873.18","0.17559368797421134870"
2024,1,"CC0003","720000","4851.12","5216.57","-365.45","-0.07005561125413825560"
2024,1,"CC0003","730000","4962.02","4963.02","-1.00","-0.00020149022167954189"
2024,1,"CC0004","600000","1549.18","1764.94","-215.76","-0.12224778179428195859"
2024,1,"CC0004","601000","2017.76","2188.94","-171.18","-0.07820223487167304723"
2024,1,"CC0004","602000","1628.92","2229.31","-600.39","-0.26931651497548568840"
2024,1,"CC0004","610000","1387.30","2226.52","-839.22","-0.37692003664912060076"
2024,1,"CC0004","611000","2487.21","2450.83","36.38","0.01484395082482261112"
2024,1,"CC0004","630000","3866.56","3250.76","615.80","0.18943262498615708327"
2024,1,"CC0004","650000","4180.82","3754.17","426.65","0.11364695791613059611"
2024,1,"CC0004","660000","3261.20","3644.29","-383.09","-0.10512061334306545308"
2024,1,"CC0004","670000","3655.09","4188.51","-533.42","-0.12735316377422997677"
2024,1,"CC0004","680000","4022.85","4100.44","-77.59","-0.01892235955165787086"
2024,1,"CC0004","700000","10486.32","11162.78","-676.46","-0.06059959974128308540"
2024,1,"CC0004","710000","3949.99","4582.21","-632.22","-0.13797272495149720331"
2024,1,"CC0004","720000","6072.16","5488.36","583.80","0.10637057335889045179"
2024,1,"CC0004","730000","7773.40","5291.71","2481.69","0.46897694696043433975"
2024,1,"CC0005","600000","2212.32","1965.60","246.72","0.12551892551892551893"
2024,1,"CC0005","601000","2490.83","2279.06","211.77","0.09291988802400989882"
2024,1,"CC0005","602000","3450.15","2512.32","937.83","0.37329241497898356897"
2024,1,"CC0005","610000","2921.50","2798.10","123.40","0.04410135449054715700"
2024,1,"CC0005","611000","3146.35","2864.95","281.40","0.09822160945217194017"
2024,1,"CC0005","630000","3811.92","3328.37","483.55","0.14528132389127410715"
2024,1,"CC0005","640000","3618.94","3166.21","452.73","0.14298798879417347554"
2024,1,"CC0005","650000","4065.52","3408.42","657.10","0.19278727386883071922"
2024,1,"CC0005","660000","3916.59","3720.25","196.34","0.05277602311672602648"
2024,1,"CC0005","670000","3934.73","3964.21","-29.48","-0.00743653842758077902"
2024,1,"CC0005","680000","4614.86","4368.53","246.33","0.05638738889283122698"
2024,1,"CC0005","700000","12644.37","12268.94","375.43","0.03060003553689234767"
2024,1,"CC0005","701000","12490.19","12255.66","234.53","0.01913646429486457686"
2024,1,"CC0005","710000","6647.94","5016.27","1631.67","0.32527555334940104899"
2024,1,"CC0005","720000","5703.64","5506.38","197.26","0.03582389882282007417"
2024,1,"CC0005","730000","6224.50","6286.92","-62.42","-0.00992855006903221291"
2024,1,"CC0006","600000","1944.06","1805.11","138.95","0.07697591836508578425"
2024,1,"CC0006","601000","2088.84","2422.32","-333.48","-0.13766967204993559893"
2024,1,"CC0006","602000","2115.73","2636.59","-520.86","-0.19755062410158576040"
2024,1,"CC0006","610000","2372.93","2699.10","-326.17","-0.12084398503204771961"
2024,1,"CC0006","611000","2455.85","2723.88","-268.03","-0.09840007636166057242"
2024,1,"CC0006","620000","3314.81","3185.72","129.09","0.04052145197945833281"
2024,1,"CC0006","630000","3370.65","3639.56","-268.91","-0.07388530481706579916"
2024,1,"CC0006","640000","4490.35","4308.90","181.45","0.04211051544477708928"
2024,1,"CC0006","650000","3522.61","3988.03","-465.42","-0.11670423743051080358"
2024,1,"CC0006","660000","3824.75","3959.21","-134.46","-0.03396132056647664559"
2024,1,"CC0006","670000","5015.38","4638.95","376.43","0.08114551784347751107"
2024,1,"CC0006","680000","6104.39","5327.62","776.77","0.14580056385402862817"
2024,1,"CC0006","710000","4097.49","5240.09","-1142.60","-0.21804968998624069434"
2024,1,"CC0006","720000","6502.91","5728.23","774.68","0.13523898307155962662"
2024,1,"CC0006","730000","6184.96","5817.86","367.10","0.06309880265252171761"
2024,1,"CC0007","600000","2089.12","2156.05","-66.93","-0.03104287933953294219"
2024,1,"CC0007","601000","1828.17","2213.34","-385.17","-0.17402206619859578736"
2024,1,"CC0007","602000","2362.44","2888.78","-526.34","-0.18220148297897382286"
2024,1,"CC0007","610000","3128.15","2957.38","170.77","0.05774367852626311127"
2024,1,"CC0007","611000","3233.25","2887.64","345.61","0.11968597193555983433"
2024,1,"CC0007","620000","4401.78","3623.20","778.58","0.21488739236034444690"
2024,1,"CC0007","630000","4842.88","4050.91","791.97","0.19550422003944792652"
2024,1,"CC0007","640000","5112.80","5004.18","108.62","0.02170585390613447158"
2024,1,"CC0007","650000","4863.13","4463.22","399.91","0.08960122960553143246"
2024,1,"CC0007","660000","4755.18","4219.11","536.07","0.12705760219572374269"
2024,1,"CC0007","670000","5400.99","4947.37","453.62","0.09168911967368521053"
2024,1,"CC0007","680000","5487.81","4773.42","714.39","0.14965999220684540644"
2024,1,"CC0007","700000","15749.92","13611.87","2138.05","0.15707246689837619666"
2024,1,"CC0007","702000","18686.95","15906.46","2780.49","0.17480256449266524418"
2024,1,"CC0007","710000","7159.29","6074.64","1084.65","0.17855379084192643515"
2024,1,"CC0007","720000","4927.72","5883.09","-955.37","-0.16239255221320768508"
