posting_date,fiscal_year,fiscal_period,gl_account,cost_center_id,actual_amount,document_type
2024-01-01,2024,1,600000,CC0001,333.09,SA
2024-01-05,2024,1,600000,CC0001,442.02,AB
2024-01-08,2024,1,600000,CC0001,61.81,KA
2024-01-22,2024,1,600000,CC0001,387.98,RE
2024-01-16,2024,1,600000,CC0001,66.87,SA
2024-01-15,2024,1,600000,CC0001,254.82,AB
2024-01-01,2024,1,600000,CC0001,265.38,KA
2024-01-22,2024,1,600000,CC0001,108.96,KR
2024-01-02,2024,1,600000,CC0002,113.46,SA
2024-01-19,2024,1,600000,CC0002,393.46,KA
2024-01-24,2024,1,600000,CC0002,41.44,KA
2024-01-31,2024,1,600000,CC0002,137.16,AB
2024-01-22,2024,1,600000,CC0002,345.06,AB
2024-01-18,2024,1,600000,CC0002,853.19,SA
2024-01-18,2024,1,600000,CC0002,84.25,KA
2024-01-09,2024,1,600000,CC0003,1665.64,KA
2024-01-21,2024,1,600000,CC0004,913.0,KR
2024-01-14,2024,1,600000,CC0004,636.18,RE
2024-01-28,2024,1,600000,CC0005,715.19,SA
2024-01-30,2024,1,600000,CC0005,1124.14,SA
2024-01-08,2024,1,600000,CC0005,372.99,SA
2024-01-11,2024,1,600000,CC0006,459.23,SA
2024-01-10,2024,1,600000,CC0006,25.12,KA
2024-01-03,2024,1,600000,CC0006,845.32,SA
2024-01-31,2024,1,600000,CC0006,614.39,KR
2024-01-24,2024,1,600000,CC0007,267.47,RE
2024-01-02,2024,1,600000,CC0007,51.15,SA
2024-01-16,2024,1,600000,CC0007,1770.5,RE
2024-01-02,2024,1,600000,CC0008,762.25,KR
2024-01-18,2024,1,600000,CC0008,117.9,SA
2024-01-02,2024,1,600000,CC0008,919.43,KR
2024-01-23,2024,1,600000,CC0008,74.04,RE
2024-01-30,2024,1,600000,CC0008,211.52,KA
2024-01-17,2024,1,600000,CC0009,596.26,RE
2024-01-30,2024,1,600000,CC0009,1490.43,AB
2024-01-19,2024,1,600000,CC0009,374.99,AB
2024-01-11,2024,1,600000,CC0010,416.48,RE
2024-01-26,2024,1,600000,CC0010,158.19,RE
2024-01-30,2024,1,600000,CC0010,1.27,KR
2024-01-19,2024,1,600000,CC0010,689.47,KA
2024-01-19,2024,1,600000,CC0010,587.02,KA
2024-01-24,2024,1,600000,CC0010,60.27,KA
2024-01-08,2024,1,600000,CC0010,94.89,AB
2024-01-06,2024,1,600000,CC0010,370.34,KR
2024-01-27,2024,1,600000,CC0011,2997.33,KA
2024-01-04,2024,1,600000,CC0011,526.91,AB
2024-01-16,2024,1,600000,CC0012,424.82,SA
2024-01-23,2024,1,600000,CC0012,3017.89,SA
2024-01-08,2024,1,601000,CC0001,56.38,SA
2024-01-01,2024,1,601000,CC0001,565.17,AB
2024-01-01,2024,1,601000,CC0001,131.99,SA
2024-01-14,2024,1,601000,CC0001,432.38,AB
2024-01-20,2024,1,601000,CC0001,473.48,KA
2024-01-02,2024,1,601000,CC0002,601.42,SA
2024-01-12,2024,1,601000,CC0002,297.44,AB
2024-01-21,2024,1,601000,CC0002,680.91,AB
2024-01-24,2024,1,601000,CC0003,1029.2,RE
2024-01-21,2024,1,601000,CC0003,417.12,RE
2024-01-26,2024,1,601000,CC0004,919.36,AB
2024-01-27,2024,1,601000,CC0004,245.3,RE
2024-01-29,2024,1,601000,CC0004,265.63,RE
2024-01-08,2024,1,601000,CC0004,160.42,RE
2024-01-23,2024,1,601000,CC0004,190.64,AB
2024-01-23,2024,1,601000,CC0004,236.41,AB
2024-01-19,2024,1,601000,CC0005,1414.08,SA
2024-01-21,2024,1,601000,CC0005,1076.75,KA
2024-01-06,2024,1,601000,CC0006,157.91,RE
2024-01-28,2024,1,601000,CC0006,328.92,KA
2024-01-28,2024,1,601000,CC0006,361.67,KR
2024-01-26,2024,1,601000,CC0006,214.51,KR
2024-01-12,2024,1,601000,CC0006,1025.83,AB
2024-01-14,2024,1,601000,CC0007,852.21,KR
2024-01-05,2024,1,601000,CC0007,142.2,KA
2024-01-05,2024,1,601000,CC0007,290.25,AB
2024-01-05,2024,1,601000,CC0007,543.51,AB
2024-01-11,2024,1,601000,CC0008,14.13,AB
2024-01-14,2024,1,601000,CC0008,91.61,KA
2024-01-01,2024,1,601000,CC0008,1422.47,RE
2024-01-13,2024,1,601000,CC0008,792.93,RE
2024-01-29,2024,1,601000,CC0009,3096.94,KR
2024-01-19,2024,1,601000,CC0009,288.95,RE
2024-01-30,2024,1,601000,CC0010,2652.89,SA
2024-01-14,2024,1,601000,CC0011,2081.93,RE
2024-01-09,2024,1,601000,CC0011,937.16,RE
2024-01-09,2024,1,601000,CC0012,2683.95,KA
2024-01-19,2024,1,601000,CC0012,183.08,SA
2024-01-19,2024,1,601000,CC0012,414.64,KA
2024-01-26,2024,1,602000,CC0001,372.52,SA
2024-01-13,2024,1,602000,CC0001,313.66,RE
2024-01-02,2024,1,602000,CC0001,236.17,SA
2024-01-17,2024,1,602000,CC0001,703.93,RE
2024-01-07,2024,1,602000,CC0001,22.74,AB
2024-01-12,2024,1,602000,CC0001,391.06,AB
2024-01-16,2024,1,602000,CC0002,54.07,RE
2024-01-24,2024,1,602000,CC0002,556.81,SA
2024-01-31,2024,1,602000,CC0002,922.14,KA
2024-01-06,2024,1,602000,CC0002,227.88,KR
2024-01-04,2024,1,602000,CC0002,244.09,AB
2024-01-03,2024,1,602000,CC0003,581.99,SA
2024-01-11,2024,1,602000,CC0003,484.17,RE
2024-01-04,2024,1,602000,CC0003,1236.27,SA
2024-01-24,2024,1,602000,CC0004,48.53,RE
2024-01-18,2024,1,602000,CC0004,310.53,SA
2024-01-12,2024,1,602000,CC0004,1269.86,AB
2024-01-09,2024,1,602000,CC0005,838.05,AB
2024-01-02,2024,1,602000,CC0005,2179.8,RE
2024-01-08,2024,1,602000,CC0005,432.3,KA
2024-01-03,2024,1,602000,CC0006,315.13,KR
2024-01-13,2024,1,602000,CC0006,1800.6,KA
2024-01-06,2024,1,602000,CC0007,480.8,KR
2024-01-11,2024,1,602000,CC0007,458.67,KR
2024-01-19,2024,1,602000,CC0007,1422.97,SA
2024-01-15,2024,1,602000,CC0008,1136.44,KR
2024-01-21,2024,1,602000,CC0008,2434.71,RE
2024-01-28,2024,1,602000,CC0009,2317.89,KA
2024-01-11,2024,1,602000,CC0009,81.32,SA
2024-01-31,2024,1,602000,CC0010,628.78,SA
2024-01-02,2024,1,602000,CC0010,37.31,RE
2024-01-24,2024,1,602000,CC0010,394.46,AB
2024-01-07,2024,1,602000,CC0010,474.37,KA
2024-01-07,2024,1,602000,CC0010,44.87,KR
2024-01-05,2024,1,602000,CC0010,167.26,AB
2024-01-04,2024,1,602000,CC0010,789.0,KA
2024-01-04,2024,1,602000,CC0010,443.92,KA
2024-01-22,2024,1,602000,CC0011,521.18,RE
2024-01-19,2024,1,602000,CC0011,303.85,AB
2024-01-19,2024,1,602000,CC0011,127.06,KA
2024-01-24,2024,1,602000,CC0011,107.06,RE
2024-01-06,2024,1,602000,CC0011,246.99,KR
2024-01-25,2024,1,602000,CC0011,272.09,AB
2024-01-19,2024,1,602000,CC0011,1498.25,AB
2024-01-14,2024,1,602000,CC0011,306.77,AB
2024-01-09,2024,1,602000,CC0012,2328.05,KR
2024-01-22,2024,1,602000,CC0012,1916.61,RE
2024-01-14,2024,1,610000,CC0001,102.29,RE
2024-01-23,2024,1,610000,CC0001,968.74,KA
2024-01-02,2024,1,610000,CC0001,306.06,RE
2024-01-15,2024,1,610000,CC0001,142.61,KR
2024-01-09,2024,1,610000,CC0001,304.95,RE
2024-01-09,2024,1,610000,CC0001,114.51,KA
2024-01-31,2024,1,610000,CC0001,16.5,SA
2024-01-22,2024,1,610000,CC0002,973.18,AB
2024-01-26,2024,1,610000,CC0002,575.81,KA
2024-01-28,2024,1,610000,CC0002,98.46,AB
2024-01-07,2024,1,610000,CC0002,1167.67,SA
2024-01-24,2024,1,610000,CC0002,88.76,RE
2024-01-24,2024,1,610000,CC0003,251.99,KA
2024-01-25,2024,1,610000,CC0003,1634.38,RE
2024-01-05,2024,1,610000,CC0003,1160.2,AB
2024-01-08,2024,1,610000,CC0004,145.08,SA
2024-01-01,2024,1,610000,CC0004,308.12,RE
2024-01-18,2024,1,610000,CC0004,54.07,SA
2024-01-17,2024,1,610000,CC0004,584.52,RE
2024-01-17,2024,1,610000,CC0004,295.51,SA
2024-01-07,2024,1,610000,CC0005,454.62,RE
2024-01-17,2024,1,610000,CC0005,1902.47,KA
2024-01-09,2024,1,610000,CC0005,564.41,SA
2024-01-06,2024,1,610000,CC0006,1470.33,KR
2024-01-04,2024,1,610000,CC0006,902.6,KA
2024-01-11,2024,1,610000,CC0007,827.42,KA
2024-01-11,2024,1,610000,CC0007,1913.35,RE
2024-01-13,2024,1,610000,CC0007,63.2,SA
2024-01-16,2024,1,610000,CC0007,324.18,SA
2024-01-27,2024,1,610000,CC0008,268.4,KR
2024-01-01,2024,1,610000,CC0008,806.74,KA
2024-01-03,2024,1,610000,CC0008,2192.97,AB
2024-01-08,2024,1,610000,CC0009,80.24,KR
2024-01-25,2024,1,610000,CC0009,1694.9,KA
2024-01-13,2024,1,610000,CC0009,568.38,KR
2024-01-15,2024,1,610000,CC0009,606.56,AB
2024-01-12,2024,1,610000,CC0010,636.83,AB
2024-01-15,2024,1,610000,CC0010,1216.46,RE
2024-01-23,2024,1,610000,CC0010,986.54,KR
2024-01-18,2024,1,610000,CC0010,264.99,KR
2024-01-25,2024,1,610000,CC0011,155.65,KA
2024-01-09,2024,1,610000,CC0011,4333.39,RE
2024-01-10,2024,1,610000,CC0012,1047.96,KA
2024-01-21,2024,1,610000,CC0012,94.14,RE
2024-01-24,2024,1,610000,CC0012,970.66,SA
2024-01-13,2024,1,610000,CC0012,275.53,KR
2024-01-20,2024,1,610000,CC0012,224.8,RE
2024-01-01,2024,1,610000,CC0012,487.28,AB
